customer_id,age,gender,country,acquisition_channel,signup_date
154,34.0,Other,Netherlands,paid_Search,2022-08-31
155,38.0,Other,Germany,social,2020-03-19
156,51.0,Female,US,email,2019-05-23
157,68.0,Male,Australia,organic,2020-05-01
158,41.0,Female,Netherlands,paid_search,2021-11-25
159,68.0,Male,France,paid_search,2023-03-21
160,34.0,Male,US,referral,2020-06-06
161,19.0,Other,Germany,email,2020-06-25
162,68.0,Other,Netherlands,Email,2024-01-24
163,33.0,Male,Germany,email,2023-09-08
164,44.0,Female,Canada,paid_search,2021-08-27
165,68.0,Male,US,social,2024-06-12
166,59.0,Male,Australia,organic,2019-07-21
167,22.0,Female,Australia,paid_search,2023-02-01
168,66.0,Male,Germany,organic,2022-11-14
169,43.0,Male,Australia,email,2022-09-02
170,65.0,Female,France,organic,2019-03-09
171,25.0,Male,France,paid_search,2020-10-03
172,45.0,Female,Canada,paid_search,2019-11-11
173,31.0,Other,Netherlands,email,2023-01-04
174,64.0,Other,Netherlands,social,2020-12-27
175,62.0,Female,Germany,email,2023-11-19
176,32.0,Other,Canada,social,2021-01-28
177,27.0,Male,Netherlands,paid_search,2023-12-10
178,61.0,Male,France,Email,2020-10-07
179,21.0,Male,Canada,paid_search,2019-03-05
180,64.0,Female,US,organic,2019-02-05
181,61.0,Male,Canada,social,2024-10-02
182,43.0,Other,Spain,email,2023-01-02
183,62.0,Male,UK,referral,2023-02-08
184,39.0,Female,Netherlands,social,2021-06-10
185,47.0,Female,Australia,organic,2022-07-23
186,20.0,Male,France,paid_search,2019-11-03
187,,Other,Australia,organic,2023-02-25
188,47.0,Other,Australia,organic,2021-05-11
189,19.0,Female,Germany,referral,2021-08-26
190,61.0,Female,Australia,social,2024-11-20
191,36.0,Male,France,organic,2024-12-16
192,43.0,Female,Canada,email,2021-06-08
193,53.0,Other,UK,paid_search,2020-03-19
194,27.0,Female,France,paid_search,2022-07-22
195,30.0,Male,Netherlands,referral,2023-04-29
196,26.0,Other,Netherlands,email,2021-06-28
197,47.0,Male,Australia,social,2019-02-19
198,61.0,Male,Spain,email,2023-10-06
199,26.0,Other,Germany,organic,2020-11-19
200,57.0,Male,Spain,email,2024-03-12
201,58.0,Female,Germany,referral,2022-06-10
202,54.0,Other,Australia,paid_search,2023-03-15
203,21.0,Female,UK,paid_search,2021-12-26
204,57.0,Female,Spain,email,2022-09-03
205,55.0,Other,Netherlands,organic,2021-06-08
206,42.0,Other,Netherlands,paid_search,2022-06-11
207,31.0,Other,Netherlands,email,2019-07-04
208,,Other,Germany,paid_search,2022-07-18
209,69.0,Male,UK,social,2020-04-02
210,47.0,Male,Australia,Email,2019-03-30
211,50.0,Other,Netherlands,organic,2023-12-08
212,21.0,Female,Canada,email,2020-06-12
213,27.0,Female,Canada,social,2021-03-11
214,62.0,Other,Canada,referral,2019-01-12
215,46.0,Male,US,email,2019-12-04
216,48.0,Female,Germany,email,2022-10-19
217,22.0,Female,US,paid_search,2024-11-11
218,63.0,Female,Canada,Email,2024-02-17
219,42.0,Other,France,social,2024-07-10
220,53.0,Male,Spain,referral,2019-10-04
221,25.0,Male,France,paid_search,2023-12-16
222,26.0,Male,Australia,organic,2024-08-03
223,39.0,Male,Australia,referral,2021-10-13
224,38.0,Female,Netherlands,organic,2024-04-07
225,18.0,Other,Germany,referral,2024-05-22
226,64.0,Male,US,social,2024-04-18
227,43.0,Other,France,paid_Search,2021-08-21
228,43.0,Female,Netherlands,paid_search,2024-01-27
229,44.0,Male,Spain,Email,2022-09-26
230,61.0,Female,Spain,organic,2022-12-12
231,24.0,Male,Spain,organic,2022-05-29
232,66.0,Other,Australia,paid_search,2020-08-25
233,45.0,Male,Netherlands,organic,2021-12-12
234,37.0,Female,Australia,social,2021-05-18
235,57.0,Male,Spain,referral,2020-07-16
236,47.0,Other,Spain,email,2019-05-14
237,49.0,Male,Canada,referral,2019-02-23
238,47.0,Other,US,organic,2021-07-30
239,31.0,Female,US,social,2024-09-20
240,66.0,Female,Germany,social,2020-02-20
241,18.0,Other,Netherlands,email,2023-02-07
242,49.0,Other,Australia,paid_search,2023-03-18
243,50.0,Female,Netherlands,referral,2020-05-13
244,25.0,Other,Germany,email,2022-08-18
245,25.0,Other,Canada,email,2024-06-21
246,68.0,Other,Spain,paid_search,2019-08-31
247,52.0,Female,Spain,email,2023-11-05
248,33.0,Male,Australia,referral,2020-07-25
249,31.0,Female,Netherlands,paid_search,2023-03-24
250,24.0,Male,Germany,referral,2020-05-16
251,36.0,Female,US,organic,2020-06-13
252,64.0,Other,US,paid_search,2023-03-05
253,20.0,Male,Canada,organic,2021-09-28
254,51.0,Other,France,paid_search,2022-09-13
255,39.0,Male,US,email,2020-07-04
256,63.0,Male,US,email,2019-01-06
257,34.0,Female,Canada,organic,2024-12-13
258,56.0,Female,Germany,social,2024-07-10
259,43.0,Male,US,referral,2021-09-24
260,28.0,Male,US,social,2023-04-29
261,58.0,Male,Canada,organic,2024-08-10
262,55.0,Other,Canada,paid_search,2022-08-03
263,39.0,Male,Netherlands,email,2019-04-07
264,57.0,Male,UK,referral,2022-02-10
265,24.0,Male,US,referral,2022-11-01
266,45.0,Female,Spain,paid_search,2020-10-16
267,60.0,Male,France,email,2024-10-12
268,43.0,Other,Spain,email,2021-12-25
269,53.0,Other,Spain,email,2019-11-10
270,51.0,Female,Australia,referral,2020-10-15
271,50.0,Other,France,email,2022-08-19
272,52.0,Male,Australia,email,2024-03-29
273,62.0,Male,US,paid_search,2021-04-29
274,26.0,Male,UK,organic,2019-09-03
275,60.0,Male,Netherlands,email,2019-12-27
276,20.0,Other,Australia,paid_search,2020-10-05
277,29.0,Other,Germany,organic,2020-04-20
278,,Other,UK,social,2021-05-19
279,33.0,Other,Canada,organic,2021-09-12
280,40.0,Female,Spain,organic,2022-03-31
281,35.0,Other,Germany,paid_search,2024-07-13
282,,Other,Spain,paid_search,2023-03-11
283,,Other,US,referral,2019-05-18
284,39.0,Female,Netherlands,referral,2021-02-04
285,24.0,Female,Germany,referral,2023-05-24
286,35.0,Other,Germany,paid_search,2023-08-11
287,59.0,Female,Netherlands,email,2019-06-21
288,61.0,Female,Germany,referral,2020-12-22
289,60.0,Other,Netherlands,social,2020-09-10
290,56.0,Male,France,referral,2020-08-21
291,39.0,Female,UK,referral,2019-10-08
292,59.0,Female,Netherlands,email,2019-06-21
293,,Other,Netherlands,referral,2023-10-13
294,30.0,Other,Germany,social,2020-02-26
295,46.0,Male,Australia,referral,2022-07-08
296,61.0,Other,UK,paid_search,2022-04-05
297,47.0,Other,France,referral,2019-06-30
298,18.0,Other,Canada,paid_search,2022-09-23
299,21.0,Male,UK,organic,2024-03-05
300,63.0,Other,UK,organic,2022-12-17
301,41.0,Other,US,referral,2022-04-12
302,54.0,Female,Netherlands,email,2023-11-16
303,,Other,France,social,2021-11-30
304,,Other,Australia,referral,2019-08-03
305,68.0,Female,Germany,paid_search,2023-04-21
306,43.0,Female,Germany,referral,2020-02-13
307,22.0,Other,UK,organic,2019-03-16
308,52.0,Male,Canada,email,2024-11-23
309,59.0,Female,Australia,organic,2021-06-25
310,41.0,Other,Australia,referral,2019-12-22
311,64.0,Female,Canada,paid_search,2021-01-11
312,28.0,Other,Germany,social,2022-09-02
313,46.0,Male,US,social,2020-12-04
314,59.0,Male,Canada,email,2020-06-19
315,51.0,Other,Australia,email,2024-11-12
316,22.0,Female,Australia,paid_Search,2022-01-23
317,65.0,Male,Canada,organic,2022-06-05
318,67.0,Female,Canada,email,2020-02-19
319,20.0,Female,Spain,email,2023-08-16
320,30.0,Female,Spain,email,2020-09-04
321,33.0,Male,Germany,email,2024-05-27
322,65.0,Other,Canada,organic,2021-10-25
323,59.0,Other,Australia,social,2024-09-24
324,24.0,Male,US,organic,2021-07-16
325,68.0,Female,US,email,2019-04-17
326,47.0,Female,France,paid_search,2020-02-01
327,31.0,Other,US,referral,2023-12-23
328,63.0,Male,UK,paid_search,2024-12-10
329,41.0,Female,Germany,Email,2024-11-06
330,,Other,France,social,2020-04-08
331,,Male,Australia,social,2023-04-26
332,37.0,Female,France,email,2020-04-02
333,34.0,Male,US,organic,2019-05-16
334,39.0,Other,US,paid_search,2023-01-25
335,,Male,France,social,2020-11-09
336,52.0,Other,Canada,email,2024-10-27
337,50.0,Other,Spain,email,2023-09-02
338,28.0,Female,US,paid_search,2019-03-18
339,,Other,Canada,organic,2024-07-28
340,56.0,Male,Canada,email,2021-09-06
341,69.0,Other,Australia,social,2024-08-14
342,39.0,Other,UK,social,2024-09-06
343,45.0,Other,Spain,referral,2023-10-04
344,37.0,Male,Canada,email,2024-04-25
345,18.0,Female,Netherlands,paid_search,2022-03-17
346,52.0,Male,Spain,social,2024-10-31
347,35.0,Other,Spain,social,2024-01-14
348,63.0,Male,Canada,email,2021-08-03
349,63.0,Other,Germany,referral,2019-12-18
350,61.0,Female,Germany,social,2020-04-07
351,63.0,Female,Australia,organic,2019-05-10
352,61.0,Male,Australia,Email,2022-06-27
353,39.0,Male,US,email,2020-10-04
354,30.0,Male,US,paid_search,2022-12-19
355,,Female,Spain,email,2023-07-13
356,62.0,Female,UK,email,2020-09-11
357,39.0,Male,UK,social,2024-09-14
358,63.0,Female,Australia,paid_Search,2020-11-18
359,37.0,Female,France,organic,2019-05-07
360,19.0,Male,Canada,organic,2020-12-23
361,30.0,Female,Netherlands,paid_search,2020-07-22
362,55.0,Female,US,paid_search,2022-03-27
363,32.0,Other,France,organic,2022-02-04
364,57.0,Other,Germany,organic,2022-03-09
365,23.0,Other,Spain,organic,2022-07-19
366,,Female,France,social,2019-01-28
367,64.0,Other,Germany,social,2019-11-23
368,33.0,Female,Australia,paid_search,2021-04-10
369,20.0,Female,Australia,email,2024-09-21
370,35.0,Other,France,referral,2019-08-12
371,42.0,Female,Germany,social,2020-06-29
372,62.0,Other,Canada,email,2020-09-25
373,61.0,Female,Germany,referral,2023-11-26
374,49.0,Other,Germany,social,2022-03-08
375,27.0,Male,Canada,organic,2022-07-24
376,24.0,Female,Canada,paid_search,2020-10-04
377,41.0,Female,France,social,2022-07-11
378,41.0,Other,Spain,organic,2024-01-28
379,53.0,Female,Spain,social,2022-03-09
380,19.0,Female,Netherlands,paid_search,2020-10-10
381,68.0,Female,Canada,social,2021-05-09
382,20.0,Male,Netherlands,organic,2019-07-11
383,52.0,Female,Netherlands,paid_search,2022-05-13
384,61.0,Female,Netherlands,referral,2021-11-28
385,22.0,Male,Australia,social,2022-12-25
386,64.0,Other,UK,social,2024-01-27
387,19.0,Male,Germany,organic,2021-05-02
388,45.0,Male,Canada,organic,2020-08-08
389,57.0,Male,Netherlands,email,2019-01-16
390,27.0,Female,Spain,Email,2019-04-08
391,46.0,Female,UK,organic,2022-03-02
392,22.0,Other,France,organic,2021-09-17
393,37.0,Other,Canada,referral,2023-01-02
394,29.0,Male,Spain,social,2024-03-08
395,45.0,Female,France,email,2019-05-28
396,37.0,Female,UK,referral,2022-04-26
397,37.0,Male,Netherlands,email,2022-03-22
398,23.0,Other,Canada,organic,2023-03-01
399,66.0,Female,France,referral,2021-01-19
400,,Other,Australia,paid_search,2021-04-22
401,42.0,Male,Netherlands,email,2019-04-26
402,67.0,Female,France,referral,2022-07-11
403,69.0,Female,France,paid_search,2022-11-27
404,38.0,Male,Spain,referral,2024-07-26
405,64.0,Female,UK,paid_search,2020-02-04
406,60.0,Female,US,organic,2020-01-24
407,43.0,Male,France,email,2022-08-17
408,25.0,Male,UK,email,2021-12-14
409,48.0,Male,Spain,referral,2023-09-05
410,58.0,Female,US,organic,2024-01-26
411,50.0,Male,UK,referral,2021-01-24
412,30.0,Other,France,paid_search,2021-05-22
413,55.0,Female,Germany,paid_search,2019-06-23
414,35.0,Other,Germany,paid_Search,2024-06-23
415,28.0,Female,Australia,organic,2024-06-30
416,38.0,Female,Netherlands,referral,2022-02-21
417,36.0,Male,UK,organic,2020-08-14
418,49.0,Female,US,email,2023-06-13
419,52.0,Female,US,paid_search,2020-06-16
420,63.0,Male,US,paid_search,2020-05-12
421,23.0,Male,US,organic,2020-09-13
422,29.0,Male,Netherlands,social,2020-08-21
423,53.0,Other,Australia,paid_search,2023-04-30
424,,Male,Canada,email,2024-02-27
425,33.0,Other,UK,social,2021-09-17
426,28.0,Male,Canada,email,2019-09-03
427,51.0,Male,France,email,2022-11-09
428,46.0,Other,Spain,paid_search,2020-05-12
429,53.0,Female,UK,referral,2023-05-16
430,21.0,Female,Germany,social,2022-02-21
431,27.0,Other,Netherlands,organic,2021-09-27
432,59.0,Female,Netherlands,organic,2019-01-21
433,61.0,Female,Netherlands,email,2021-06-17
434,30.0,Female,Canada,social,2022-12-07
435,26.0,Other,US,paid_search,2020-10-15
436,59.0,Male,US,email,2020-02-17
437,54.0,Other,France,social,2024-08-13
438,56.0,Female,Germany,social,2023-01-12
439,27.0,Female,Canada,organic,2020-03-12
440,52.0,Male,Netherlands,referral,2020-01-17
441,34.0,Male,Netherlands,email,2024-01-09
442,45.0,Other,US,organic,2019-05-15
443,31.0,Male,Australia,organic,2021-07-06
444,19.0,Other,Canada,paid_search,2024-12-16
445,20.0,Male,Netherlands,organic,2020-05-04
446,66.0,Female,Germany,social,2019-08-28
447,43.0,Other,Canada,social,2022-04-26
448,57.0,Other,UK,organic,2020-11-27
449,23.0,Male,UK,social,2022-10-12
450,19.0,Other,Spain,paid_Search,2022-06-06
451,25.0,Female,Germany,social,2022-11-02
452,20.0,Female,Netherlands,social,2023-04-25
453,19.0,Other,US,social,2024-10-22
454,25.0,Female,France,referral,2024-05-23
455,30.0,Other,UK,paid_search,2019-04-14
456,47.0,Male,Spain,social,2019-09-17
457,25.0,Female,Canada,social,2023-11-11
458,68.0,Male,France,social,2021-09-01
459,18.0,Male,France,paid_search,2022-05-19
460,25.0,Male,Canada,social,2019-08-24
461,55.0,Male,Australia,social,2020-09-19
462,50.0,Male,US,organic,2019-05-28
463,38.0,Male,UK,organic,2021-09-24
464,28.0,Female,Netherlands,paid_search,2024-03-24
465,21.0,Female,Germany,email,2019-01-18
466,,Male,France,paid_search,2020-10-09
467,,Female,Australia,paid_search,2024-03-21
468,62.0,Female,Australia,email,2021-05-30
469,33.0,Female,UK,referral,2023-02-21
470,52.0,Female,Germany,paid_search,2024-02-25
471,,Female,UK,paid_search,2021-07-19
472,42.0,Male,France,organic,2022-05-14
473,63.0,Female,Canada,social,2019-08-30
474,,Female,UK,referral,2024-05-02
475,51.0,Female,France,organic,2020-05-06
476,,Male,Netherlands,social,2023-10-24
477,35.0,Other,Australia,referral,2023-11-27
478,60.0,Other,Germany,email,2023-07-26
479,22.0,Female,UK,paid_search,2024-11-17
480,28.0,Other,Spain,organic,2020-12-10
481,40.0,Other,Canada,Email,2021-03-16
482,45.0,Other,Netherlands,social,2023-10-17
483,50.0,Other,Spain,organic,2019-11-04
484,54.0,Male,France,social,2020-04-16
485,55.0,Other,Canada,social,2020-06-11
486,52.0,Female,Australia,referral,2022-12-14
487,,Other,US,email,2020-08-03
488,38.0,Other,Canada,paid_search,2020-08-11
489,40.0,Other,Canada,organic,2023-02-25
490,30.0,Female,Canada,referral,2022-11-09
491,35.0,Male,Germany,organic,2020-07-26
492,28.0,Other,Canada,paid_search,2021-05-28
493,21.0,Female,Spain,email,2023-11-12
494,58.0,Male,Australia,paid_search,2022-06-26
495,,Male,UK,organic,2019-09-20
496,,Female,France,referral,2024-12-08
497,50.0,Female,Spain,social,2020-10-03
498,57.0,Other,Netherlands,paid_search,2023-07-02
499,25.0,Male,Netherlands,organic,2020-04-04
500,40.0,Other,Canada,social,2021-02-17
501,18.0,Male,Spain,organic,2024-01-29
502,40.0,Male,Germany,email,2019-06-19
503,41.0,Male,Spain,paid_search,2023-01-23
504,48.0,Other,France,email,2022-07-31
505,24.0,Other,Germany,paid_search,2023-07-04
506,22.0,Female,Spain,paid_search,2020-01-01
507,55.0,Male,Netherlands,organic,2023-11-08
508,26.0,Female,Germany,organic,2022-11-23
509,53.0,Female,UK,organic,2023-11-28
510,42.0,Female,Netherlands,paid_search,2024-10-07
511,27.0,Other,Spain,paid_search,2022-11-07
512,30.0,Other,Spain,social,2023-08-27
513,51.0,Other,UK,paid_search,2024-01-27
514,26.0,Other,Australia,social,2021-08-23
515,42.0,Female,France,referral,2022-04-08
516,61.0,Female,UK,referral,2022-11-28
517,52.0,Female,Netherlands,organic,2024-05-01
518,29.0,Female,Canada,referral,2023-03-04
519,,Female,Spain,social,2021-06-14
520,49.0,Female,Australia,email,2020-07-18
521,,Male,Canada,paid_search,2024-06-20
522,19.0,Other,France,email,2024-08-28
523,67.0,Other,Netherlands,social,2022-02-01
524,30.0,Male,Canada,organic,2023-05-11
525,20.0,Other,Netherlands,referral,2023-09-14
526,47.0,Other,UK,referral,2024-01-01
527,64.0,Female,Spain,organic,2021-05-22
528,61.0,Male,France,email,2023-02-18
529,49.0,Female,Germany,organic,2021-04-20
530,27.0,Female,Netherlands,email,2023-01-27
531,44.0,Male,UK,social,2024-11-08
532,53.0,Female,US,social,2022-02-04
533,34.0,Male,US,referral,2020-11-04
534,37.0,Other,Netherlands,email,2024-06-01
535,54.0,Other,Canada,social,2019-01-22
536,37.0,Female,Germany,paid_Search,2021-09-06
537,54.0,Female,Spain,referral,2022-03-16
538,27.0,Male,Canada,social,2021-06-23
539,34.0,Male,Australia,email,2022-08-24
540,41.0,Female,Netherlands,social,2021-10-29
541,21.0,Female,Australia,paid_search,2024-11-02
542,36.0,Other,UK,email,2022-05-15
543,39.0,Female,US,referral,2021-11-21
544,48.0,Other,Spain,referral,2019-05-02
545,53.0,Male,Netherlands,organic,2023-03-07
546,35.0,Male,Germany,social,2024-09-09
547,,Female,Canada,organic,2023-04-01
548,34.0,Other,Germany,social,2019-11-16
549,28.0,Female,Spain,referral,2020-03-07
550,69.0,Female,Germany,referral,2021-07-02
551,60.0,Female,Australia,referral,2021-07-06
552,23.0,Male,Germany,referral,2024-06-05
553,36.0,Female,US,email,2022-03-16
554,22.0,Male,France,organic,2023-05-29
555,38.0,Male,France,paid_search,2024-11-16
556,21.0,Other,US,email,2019-07-23
557,18.0,Female,UK,social,2020-04-14
558,61.0,Other,France,organic,2020-02-29
559,53.0,Female,Australia,social,2020-01-16
560,24.0,Female,Spain,paid_search,2022-06-25
561,33.0,Other,US,organic,2019-02-16
562,30.0,Male,Canada,social,2022-05-20
563,60.0,Female,Germany,organic,2023-03-15
564,38.0,Male,Germany,paid_search,2023-04-10
565,49.0,Other,Spain,referral,2023-01-20
566,59.0,Female,UK,referral,2021-08-08
567,38.0,Other,Netherlands,paid_search,2024-06-07
568,54.0,Other,Germany,organic,2024-10-01
569,38.0,Male,Canada,organic,2022-08-12
570,50.0,Other,US,organic,2020-09-08
571,24.0,Male,UK,referral,2020-07-18
572,51.0,Other,UK,organic,2023-02-03
573,34.0,Female,Australia,paid_search,2021-05-09
574,18.0,Male,US,organic,2019-04-17
575,19.0,Other,Canada,social,2023-01-09
576,41.0,Female,France,email,2021-02-14
577,,Other,Netherlands,organic,2020-12-02
578,49.0,Female,Netherlands,social,2019-03-29
579,63.0,Other,Spain,referral,2021-10-30
580,32.0,Female,Germany,referral,2019-08-07
581,58.0,Female,UK,paid_search,2022-09-04
582,42.0,Other,Spain,social,2019-10-08
583,50.0,Other,Australia,social,2024-03-08
584,40.0,Female,Germany,email,2019-11-27
585,,Female,Spain,social,2024-05-24
586,45.0,Male,Canada,organic,2022-07-07
587,64.0,Female,Spain,paid_search,2023-12-02
588,59.0,Female,France,paid_search,2019-03-27
589,24.0,Male,Germany,email,2022-01-09
590,67.0,Female,UK,social,2023-12-04
591,18.0,Male,Spain,social,2023-02-14
592,65.0,Female,Australia,email,2024-01-31
593,49.0,Other,Australia,organic,2019-01-09
594,,Male,Australia,referral,2019-08-14
595,51.0,Female,US,email,2019-02-19
596,44.0,Other,UK,social,2021-01-24
597,42.0,Female,Australia,referral,2024-08-13
598,52.0,Male,UK,social,2022-07-30
599,55.0,Other,France,social,2024-03-04
600,28.0,Male,Canada,paid_search,2021-07-17
601,39.0,Female,US,referral,2020-08-25
602,45.0,Female,UK,referral,2023-10-09
603,52.0,Male,Germany,paid_search,2019-07-12
604,28.0,Female,UK,referral,2019-04-07
605,61.0,Other,Germany,email,2023-08-29
606,50.0,Female,US,email,2019-10-06
607,57.0,Other,Netherlands,organic,2020-08-22
608,37.0,Other,Netherlands,Email,2022-02-07
609,21.0,Other,Australia,referral,2019-01-14
610,52.0,Male,Australia,social,2020-07-29
611,31.0,Male,Netherlands,organic,2019-06-17
612,52.0,Other,US,email,2024-06-28
613,50.0,Other,Netherlands,email,2021-11-17
614,44.0,Female,Australia,Email,2024-07-02
615,25.0,Other,Australia,email,2020-06-03
616,37.0,Female,US,organic,2024-01-25
617,,Other,US,email,2019-06-21
618,26.0,Male,Netherlands,organic,2024-02-07
619,36.0,Female,Spain,referral,2021-11-24
620,53.0,Female,UK,Email,2024-10-06
