transaction_id,customer_id,product_category,purchase_value,discount_used,purchase_date
134,1210,toys,54.46,1,2022-05-15
135,8195,fashion,63.22,0,2022-10-25
136,5841,electronics,3.27,1,2022-11-17
137,8983,toys,156.72,0,2019-03-06
138,9823,fashion,279.28,0,2020-07-12
139,9479,beauty,81.95,0,2021-09-24
140,104,sports,50.25,0,2022-04-14
141,5947,sports,54.81,0,2020-01-08
142,6623,home,31.58,1,2021-10-02
143,3860,fashion,40.09,0,2022-08-02
144,4742,electronics,132.85,0,2020-09-13
145,8378,toys,89.67,0,2021-07-14
146,4646,sports,192.27,0,2023-09-11
147,7366,beauty,98.6,0,2020-06-24
148,1002,electronics,52.9,1,2019-10-04
149,9911,sports,167.15,0,2019-08-12
150,8577,home,73.82,0,2019-07-25
151,5939,toys,32.86,0,2019-02-22
152,8152,electronics,94.38,0,2021-05-15
153,2489,toys,124.39,1,2024-11-02
154,7685,beauty,22.09,0,2020-04-30
155,447,beauty,72.45,1,2022-06-08
156,4087,fashion,44.44,0,2020-07-29
157,7940,home,9.58,1,2019-03-30
158,2142,fashion,41.95,1,2023-08-04
159,9776,beauty,55.52,0,2023-11-28
160,7554,toys,23.69,1,2024-04-23
161,7718,fashion,87.18,0,2020-02-21
162,7730,beauty,72.57,0,2023-11-21
163,4027,beauty,44.89,1,2020-08-01
164,2774,electronics,173.31,0,2022-03-23
165,2145,toys,95.0,1,2019-07-07
166,8236,electronics,57.08,0,2021-02-03
167,1621,beauty,107.43,0,2023-03-01
168,347,beauty,54.69,0,2019-05-20
169,587,fashion,151.23,0,2023-04-04
170,8203,electronics,20.92,0,2024-11-10
171,5403,beauty,77.46,1,2021-11-21
172,7285,toys,81.41,0,2019-07-16
173,9954,toys,92.1,0,2023-05-31
174,7811,home,170.84,0,2021-07-05
175,4750,electronics,39.04,0,2022-09-23
176,6342,fashion,62.94,0,2021-05-11
177,6848,toys,88.56,0,2024-07-24
178,6618,electronics,108.01,0,2022-02-08
179,4915,electronics,8.21,0,2023-02-21
180,3164,home,42.44,0,2024-04-03
181,6702,home,60.15,0,2024-04-23
182,5875,home,28.74,0,2024-06-02
183,7498,sports,73.62,0,2023-10-06
184,6476,sports,77.54,1,2023-03-27
185,1150,electronics,63.88,0,2019-03-09
186,9378,toys,56.39,0,2021-01-28
187,4087,beauty,155.72,0,2023-12-07
188,287,beauty,125.84,0,2020-11-25
189,6217,electronics,127.47,0,2019-08-21
190,7867,toys,15.8,0,2020-11-15
191,3352,home,17.67,0,2024-02-08
192,6007,beauty,50.8,1,2020-09-02
193,9049,sports,56.4,0,2020-12-03
194,725,home,107.02,0,2021-07-26
195,7841,home,21.91,1,2019-04-14
196,5757,sports,45.82,0,2020-10-31
197,1158,toys,109.4,0,2023-10-08
198,8659,toys,218.12,0,2023-12-02
199,9277,toys,25.59,1,2022-02-06
200,9272,sports,49.04,0,2024-11-13
201,2176,electronics,46.08,0,2021-05-18
202,3798,home,18.76,0,2023-05-21
203,6669,fashion,32.39,0,2019-09-21
204,9176,electronics,51.22,0,2019-12-10
205,978,home,80.64,0,2019-06-01
206,9548,sports,10.46,0,2023-02-26
207,9283,beauty,358.79,0,2019-05-02
208,7649,fashion,191.31,0,2022-09-30
209,8583,beauty,104.01,0,2022-04-12
210,7596,electronics,57.01,0,2021-03-28
211,2939,toys,112.79,1,2024-08-15
212,5512,electronics,35.43,0,2020-09-12
213,1992,beauty,9.73,0,2022-03-20
214,8220,toys,16.22,1,2021-04-09
215,5145,electronics,90.76,0,2019-11-02
216,4927,fashion,60.61,1,2024-02-14
217,5409,electronics,63.0,0,2024-06-06
218,5647,beauty,146.31,0,2019-08-01
219,7173,electronics,65.04,0,2019-02-28
220,8018,beauty,180.24,0,2021-11-25
221,1944,beauty,28.25,0,2022-05-08
222,5464,toys,25.83,1,2021-09-27
223,3898,home,99.93,1,2019-08-22
224,814,electronics,26.65,0,2024-06-07
225,1104,toys,39.43,1,2022-10-26
226,9462,electronics,55.66,0,2019-12-23
227,2277,electronics,12.14,1,2022-01-01
228,5509,home,39.23,0,2019-07-25
229,7084,toys,58.56,0,2024-05-19
230,6950,home,148.13,1,2019-07-21
231,3355,fashion,75.37,0,2024-06-13
232,3443,home,137.2,0,2019-06-10
233,8722,sports,6.12,1,2020-02-03
234,9599,toys,112.76,1,2020-06-20
235,9944,home,79.51,0,2019-11-30
236,7197,electronics,11.99,0,2021-07-30
237,4772,toys,69.03,0,2024-02-18
238,3050,sports,38.75,0,2022-10-04
239,2487,sports,60.69,0,2023-07-15
240,6614,electronics,106.83,0,2024-04-17
241,3566,electronics,72.18,1,2024-07-03
242,4301,sports,66.34,1,2019-11-03
243,7769,toys,8.96,1,2019-09-14
244,5645,toys,6.62,0,2023-07-31
245,5652,beauty,17.72,0,2024-04-11
246,3707,electronics,100.28,1,2022-07-24
247,1552,sports,62.22,1,2021-04-20
248,754,toys,206.55,0,2021-07-20
249,6056,fashion,40.88,0,2021-04-17
250,1306,beauty,19.58,0,2021-10-28
251,3253,electronics,101.12,1,2022-06-26
252,6578,fashion,128.31,0,2022-08-10
253,7060,fashion,54.22,1,2021-01-23
254,8210,fashion,118.2,0,2021-07-16
255,4721,toys,95.75,0,2024-02-14
256,2072,beauty,42.47,1,2024-10-31
257,3053,toys,72.75,0,2021-03-22
258,1862,beauty,44.16,1,2021-11-10
259,3855,beauty,99.91,0,2024-06-03
260,651,home,44.57,1,2022-08-07
261,6564,toys,12.1,1,2024-07-06
262,9865,fashion,82.74,1,2022-07-06
263,5953,electronics,83.9,1,2021-02-27
264,6830,electronics,21.64,1,2024-01-01
265,8422,toys,57.81,0,2024-11-06
266,5140,sports,54.37,1,2019-08-28
267,4685,beauty,83.15,0,2020-10-06
268,9157,sports,29.17,0,2019-09-25
269,5318,electronics,121.84,0,2019-01-05
270,1753,fashion,41.41,0,2024-02-17
271,5592,fashion,159.46,0,2020-08-05
272,5616,sports,30.69,0,2023-07-21
273,7612,electronics,47.32,1,2020-03-23
274,3421,fashion,73.39,0,2020-03-24
275,2113,beauty,52.0,1,2019-04-29
276,383,toys,68.8,0,2023-06-01
277,6905,toys,117.22,1,2021-09-20
278,755,sports,94.26,0,2019-09-18
279,319,fashion,53.99,1,2019-08-26
280,8228,home,9.38,0,2023-10-29
281,7451,beauty,35.3,0,2020-09-09
282,7851,home,169.91,1,2019-11-11
283,6227,electronics,156.39,1,2023-11-18
284,6691,toys,82.12,0,2020-10-25
285,8626,electronics,131.93,0,2023-03-06
286,2668,fashion,87.72,1,2024-06-13
287,2358,home,24.31,1,2021-06-02
288,6807,toys,83.41,1,2023-01-06
289,638,beauty,75.42,0,2022-01-14
290,3682,electronics,57.54,0,2019-08-12
291,2341,electronics,51.24,1,2020-01-22
292,4013,home,71.64,1,2020-09-30
293,6414,toys,28.02,0,2023-12-15
294,2993,home,62.69,1,2019-11-30
295,8982,toys,123.4,0,2023-04-24
296,4618,fashion,66.54,0,2023-02-25
297,9415,toys,15.77,0,2019-12-20
298,6755,electronics,62.42,1,2024-10-14
299,575,electronics,61.57,1,2021-05-17
300,7447,beauty,24.72,0,2024-05-17
301,9991,toys,170.61,0,2022-04-03
302,4575,beauty,33.68,0,2024-05-11
303,6617,fashion,53.72,1,2021-04-26
304,3871,toys,124.9,0,2021-05-16
305,5096,toys,66.61,0,2023-02-07
306,421,home,141.31,0,2021-02-06
307,8901,home,37.42,0,2021-05-30
308,2243,electronics,24.06,0,2021-11-13
309,752,home,173.12,0,2021-03-14
310,7065,toys,166.35,0,2023-05-15
311,1973,toys,34.76,0,2020-11-14
312,8794,beauty,63.47,0,2020-11-26
313,9662,toys,1253.68,0,2020-05-11
314,944,beauty,46.53,0,2024-01-25
315,876,electronics,41.38,0,2023-08-22
316,5846,fashion,104.3,1,2021-06-09
317,1778,toys,21.59,1,2024-08-27
318,6191,sports,169.94,0,2021-05-15
319,3342,toys,47.23,0,2024-03-19
320,7629,electronics,47.56,0,2021-08-30
321,9441,fashion,49.71,0,2024-12-26
322,2673,fashion,52.96,0,2023-08-20
323,2794,fashion,51.65,1,2019-11-15
324,5027,beauty,113.36,0,2024-05-04
325,6138,toys,30.4,0,2024-05-10
326,968,toys,49.09,1,2020-11-11
327,31,sports,97.41,1,2021-06-02
328,6174,sports,32.49,0,2023-06-19
329,4307,beauty,273.76,0,2024-07-16
330,8294,home,63.26,1,2020-09-22
331,2986,home,87.44,0,2022-01-02
332,1578,home,145.02,0,2019-11-17
333,5681,fashion,59.5,0,2021-12-28
334,1822,toys,81.53,0,2020-03-21
335,1168,electronics,38.3,0,2024-09-11
336,8193,sports,74.82,1,2022-07-24
337,7619,beauty,26.83,1,2022-04-05
338,4484,beauty,51.55,0,2020-01-30
339,727,home,38.29,1,2024-06-07
340,9673,beauty,96.2,0,2024-10-24
341,9805,sports,21.49,0,2024-05-16
342,7773,fashion,90.93,0,2023-10-12
343,8996,sports,174.45,0,2023-02-02
344,9377,toys,40.91,0,2020-11-19
345,4125,electronics,20.46,1,2019-02-14
346,4028,fashion,12.82,1,2020-05-04
347,1371,sports,131.76,0,2022-10-03
348,4974,toys,28.53,1,2020-06-01
349,2170,electronics,47.96,0,2023-08-17
350,2736,home,193.86,0,2023-03-29
351,3119,fashion,91.54,1,2021-03-01
352,7468,beauty,49.83,0,2022-09-30
353,6077,beauty,169.29,0,2024-02-11
354,5109,home,96.65,0,2024-04-19
355,4604,home,69.42,0,2021-10-23
356,2533,electronics,67.16,1,2022-07-14
357,64,home,26.68,1,2020-08-03
358,7271,beauty,23.7,0,2022-05-16
359,9176,sports,31.66,0,2023-12-24
360,2873,sports,136.79,1,2020-04-30
361,6312,fashion,98.64,0,2021-04-27
362,6856,toys,22.24,1,2023-02-14
363,7027,beauty,39.65,0,2019-06-17
364,9497,toys,61.17,0,2024-03-19
365,1111,beauty,28.1,0,2022-09-16
366,7871,toys,71.1,0,2021-12-16
367,236,beauty,57.87,1,2020-05-15
368,1733,toys,11.82,0,2021-06-03
369,4700,sports,21.34,0,2022-05-27
370,1509,electronics,61.95,0,2023-11-26
371,4698,electronics,32.8,0,2021-12-05
372,7861,sports,123.94,0,2022-03-27
373,6192,electronics,54.28,1,2024-02-22
374,7142,home,37.77,0,2021-08-11
375,5695,fashion,121.39,0,2024-07-23
376,1309,electronics,96.11,0,2020-05-18
377,3438,toys,84.12,0,2021-03-28
378,9969,electronics,113.82,1,2023-02-21
379,5842,fashion,51.14,0,2023-10-27
380,5660,toys,82.52,0,2020-01-11
381,7455,sports,98.29,1,2022-08-26
382,7664,electronics,24.69,0,2021-02-19
383,5474,beauty,25.53,1,2023-12-04
384,2361,toys,32.71,0,2021-09-16
385,9397,sports,239.55,0,2020-06-14
386,6515,beauty,119.79,0,2020-07-19
387,8730,sports,265.45,0,2022-10-26
388,273,beauty,37.57,0,2019-01-19
389,230,sports,98.19,0,2019-09-16
390,3224,sports,82.26,0,2019-07-28
391,9556,toys,68.0,1,2019-11-03
392,311,toys,34.29,0,2020-09-20
393,9027,sports,76.89,0,2022-10-18
394,7316,home,41.72,0,2024-08-30
395,2152,sports,13.39,0,2019-06-19
396,6091,fashion,163.4,0,2021-12-13
397,9840,electronics,60.57,0,2020-03-29
398,3565,sports,10.06,1,2021-10-19
399,5040,beauty,105.81,0,2024-12-18
400,8901,beauty,19.38,0,2021-09-25
401,356,beauty,154.36,0,2020-04-10
402,7061,toys,133.71,0,2024-10-05
403,2131,sports,28.56,1,2021-09-27
404,8001,sports,240.92,0,2024-01-21
405,7600,home,60.3,0,2019-04-19
406,6163,toys,129.74,1,2021-03-04
407,6744,fashion,17.31,0,2021-09-28
408,3112,toys,90.58,0,2024-01-27
409,8320,electronics,88.12,0,2022-07-25
410,392,toys,189.59,0,2024-10-01
411,4536,fashion,53.82,1,2020-08-13
412,3791,toys,80.33,0,2022-02-06
413,382,fashion,56.73,0,2021-04-20
414,8100,electronics,143.68,0,2024-05-21
415,7859,sports,99.33,0,2022-03-13
416,6947,home,66.19,0,2023-07-12
417,5733,electronics,33.82,0,2020-11-12
418,4206,sports,71.27,1,2022-01-03
419,873,sports,22.64,0,2021-10-10
420,1015,sports,46.2,0,2022-08-16
421,7809,beauty,79.43,0,2024-05-12
422,6377,sports,20.99,0,2022-01-26
423,3151,electronics,90.09,0,2019-03-19
424,957,electronics,88.75,1,2023-04-19
425,5617,home,23.43,1,2023-05-22
426,6008,toys,60.76,0,2023-08-14
427,2014,home,133.19,1,2024-03-03
428,7982,home,6.68,0,2020-02-27
429,8702,electronics,54.75,1,2021-11-02
430,2058,electronics,46.69,0,2023-04-24
431,6327,sports,42.25,0,2023-03-09
432,6579,beauty,38.73,0,2023-08-24
433,942,beauty,20.53,1,2021-01-03
434,1053,home,139.68,0,2024-08-08
435,5769,home,13.44,1,2024-04-15
436,5344,home,19.55,0,2022-03-07
437,6183,home,55.42,1,2024-10-19
438,4753,home,22.77,0,2022-09-07
439,7961,sports,85.57,0,2023-04-30
440,4245,beauty,49.01,0,2021-12-01
441,1546,sports,145.46,0,2020-05-10
442,3607,fashion,40.68,0,2024-09-03
443,5898,fashion,97.72,1,2023-06-15
444,4842,beauty,26.38,0,2019-06-09
445,6346,toys,135.35,0,2019-03-09
446,978,toys,16.29,0,2020-01-02
447,186,beauty,27.27,1,2019-03-16
448,1618,sports,112.43,0,2024-08-24
449,7060,toys,30.27,1,2023-07-30
450,8658,electronics,99.56,0,2021-04-20
451,9276,toys,56.15,1,2019-05-22
452,7454,beauty,92.09,0,2021-10-27
453,2053,fashion,134.48,0,2024-05-06
454,8840,toys,204.77,0,2020-10-19
455,1465,toys,42.56,0,2020-07-23
456,2925,toys,8.29,0,2020-12-17
457,4176,electronics,107.56,0,2022-09-25
458,3094,sports,20.96,1,2021-08-20
459,3788,sports,63.42,0,2020-10-17
460,2266,electronics,23.74,1,2022-01-27
461,8744,sports,16.74,0,2024-09-16
462,8435,beauty,67.5,1,2020-12-23
463,2963,home,125.2,0,2019-11-10
464,326,beauty,81.98,0,2020-02-01
465,7417,sports,51.5,0,2021-06-13
466,9934,sports,30.78,0,2024-04-18
467,8170,home,49.46,0,2019-07-25
468,2807,toys,57.32,0,2022-05-04
469,6690,fashion,84.2,1,2023-02-08
470,1409,home,138.54,1,2024-02-23
471,8865,beauty,21.35,0,2024-04-02
472,9013,fashion,44.75,1,2022-11-16
473,5160,fashion,73.2,0,2020-05-12
474,2505,sports,62.49,1,2022-04-20
475,1570,beauty,31.29,0,2024-10-30
476,5041,electronics,39.42,0,2023-02-22
477,4974,toys,14.67,0,2021-05-08
478,3058,home,28.71,0,2023-08-04
479,6830,toys,67.43,0,2021-04-07
480,7391,beauty,100.73,0,2020-07-27
481,6628,sports,31.5,1,2024-01-27
482,4003,fashion,120.53,0,2020-02-15
483,4092,beauty,18.94,0,2023-05-20
484,9405,toys,307.85,0,2019-06-20
485,1978,electronics,121.03,0,2024-02-19
486,4021,beauty,70.74,0,2023-02-03
487,4472,beauty,150.22,0,2022-08-19
488,8192,sports,47.89,0,2024-04-30
489,7740,beauty,16.07,0,2024-01-26
490,515,sports,57.91,0,2019-08-21
491,5030,toys,47.51,1,2021-06-29
492,8226,fashion,70.4,1,2022-06-02
493,3180,fashion,15.94,1,2019-07-09
494,785,home,73.03,1,2019-06-28
495,2539,toys,143.81,0,2024-11-11
496,7319,fashion,80.37,1,2022-01-01
497,6159,fashion,76.69,0,2022-10-01
498,4263,electronics,133.68,0,2019-07-16
499,6475,fashion,5.91,0,2019-03-18
500,290,electronics,8.35,0,2022-05-15
501,2736,home,148.92,1,2022-10-31
502,1832,fashion,31.54,0,2023-07-26
503,4065,electronics,110.83,0,2024-06-04
504,2975,home,73.7,0,2024-09-19
505,82,electronics,48.04,0,2019-11-21
506,5477,sports,77.06,0,2023-04-13
507,7,sports,4.23,1,2022-01-06
508,1377,fashion,109.29,1,2023-11-15
509,8792,sports,97.01,1,2024-06-01
510,3161,beauty,236.47,0,2023-11-23
511,3320,sports,63.38,0,2022-05-20
512,4417,home,93.35,1,2023-03-03
513,9131,electronics,82.24,1,2023-12-11
514,5413,beauty,50.3,1,2023-07-02
515,2150,electronics,20.29,0,2023-12-21
516,4070,toys,186.91,0,2021-10-31
517,7530,sports,33.76,0,2021-11-10
518,5647,electronics,78.8,0,2024-11-29
519,6839,toys,146.52,0,2022-11-20
520,4781,home,49.14,1,2022-12-13
521,6511,toys,104.82,0,2019-10-03
522,5960,sports,118.75,0,2023-05-19
523,9219,fashion,49.29,1,2020-11-24
524,7898,electronics,133.53,0,2021-07-04
525,3274,fashion,64.52,1,2019-12-08
526,3201,sports,131.4,1,2023-06-15
527,2713,toys,22.59,1,2023-03-29
528,8608,toys,37.14,0,2024-02-06
529,5617,electronics,144.35,0,2021-04-21
530,8109,electronics,61.1,0,2020-08-28
531,4879,home,39.91,1,2019-08-15
532,6015,home,96.46,1,2019-12-03
533,4966,toys,96.97,1,2020-11-13
534,1971,toys,55.72,0,2022-11-05
535,9740,fashion,84.28,0,2020-04-27
536,2129,fashion,12.87,0,2019-07-13
537,9776,fashion,304.3,0,2024-01-08
538,3661,electronics,45.99,1,2022-02-21
539,8199,home,47.74,1,2021-03-20
540,154,toys,49.05,1,2019-03-14
541,9062,beauty,49.71,1,2019-06-09
542,500,toys,73.69,1,2020-03-31
543,2040,electronics,68.02,0,2023-08-20
544,9616,sports,18.82,1,2022-03-29
545,8247,electronics,15.11,0,2024-06-07
546,8783,fashion,14.05,0,2024-02-24
547,4445,home,149.53,0,2021-01-15
548,9133,toys,11.34,1,2021-03-06
549,7771,home,51.08,0,2019-05-04
550,7581,beauty,47.77,0,2019-04-16
551,7976,home,60.02,0,2023-08-12
552,3262,toys,9.49,0,2023-06-25
553,164,electronics,41.64,1,2024-12-06
554,1181,beauty,125.1,0,2022-08-23
555,8012,sports,212.31,0,2023-02-16
556,2930,toys,41.74,0,2021-12-10
557,1956,fashion,147.05,0,2024-09-05
558,7972,fashion,69.32,0,2022-11-02
559,6160,electronics,95.71,0,2024-12-20
560,7913,sports,28.38,0,2022-08-21
561,2571,beauty,19.06,1,2022-08-31
562,5262,beauty,38.01,1,2022-09-17
563,6671,beauty,44.41,0,2024-08-30
564,4560,toys,32.32,1,2023-07-09
565,3442,electronics,30.11,1,2019-01-01
566,9253,beauty,35.17,0,2020-04-26
567,8301,home,24.61,0,2020-08-28
568,6126,toys,17.55,1,2022-09-24
569,1685,electronics,107.88,0,2019-10-05
570,1224,fashion,21.05,0,2020-10-10
571,1367,fashion,147.78,0,2020-12-16
572,1968,toys,65.86,0,2022-04-19
573,7500,toys,53.05,0,2020-02-11
574,2405,sports,67.58,0,2019-12-13
575,3599,electronics,34.38,0,2022-03-09
576,2008,sports,114.9,0,2022-10-24
577,7966,fashion,38.71,0,2023-09-19
578,9588,fashion,40.41,1,2019-03-10
579,499,toys,50.13,0,2024-04-24
580,7432,fashion,58.13,0,2024-03-21
581,6875,electronics,74.93,0,2021-05-23
582,4788,home,134.79,0,2019-02-09
583,8466,beauty,31.8,0,2019-03-01
584,1942,fashion,91.15,0,2023-09-19
585,3776,home,45.65,0,2022-04-02
586,9112,fashion,154.12,0,2021-02-07
587,2172,toys,212.27,1,2024-07-19
588,9891,home,63.96,0,2020-01-15
589,9495,toys,42.33,0,2024-02-03
590,8646,electronics,203.08,0,2021-11-22
591,1033,beauty,159.53,0,2024-09-25
592,7876,electronics,71.75,1,2023-04-30
593,5256,home,26.31,1,2020-02-03
594,2326,toys,209.22,0,2023-07-11
595,9596,sports,80.24,0,2020-09-05
596,1441,home,52.74,1,2024-10-07
597,3051,sports,111.45,0,2020-05-08
598,2137,sports,49.75,1,2019-11-15
599,6852,toys,64.27,0,2024-12-27
600,3231,fashion,57.9,1,2023-01-25
601,8263,home,53.09,0,2019-07-05
602,3550,toys,35.63,0,2022-09-23
603,6566,sports,104.9,0,2021-09-28
604,6446,fashion,21.4,0,2020-12-12
605,1837,beauty,11.31,1,2021-06-07
606,7602,beauty,40.98,1,2020-01-26
607,9333,sports,142.83,0,2021-09-30
608,1908,fashion,37.87,0,2022-01-05
609,6547,beauty,67.53,0,2023-04-19
610,6725,electronics,136.78,0,2022-05-03
611,3156,toys,75.38,0,2021-10-04
612,1771,beauty,46.81,0,2022-04-01
613,7351,fashion,60.05,0,2022-12-11
614,6827,home,31.0,1,2024-03-16
615,5878,toys,129.92,0,2023-11-10
616,3032,toys,39.58,0,2022-06-06
617,1142,fashion,45.45,1,2020-05-20
618,4182,sports,26.23,0,2020-05-08
619,61,toys,26.9,0,2021-11-24
620,6618,home,56.92,0,2022-02-08
621,7416,beauty,116.65,1,2024-04-08
622,8687,sports,122.92,0,2023-11-29
623,4037,electronics,30.3,1,2021-04-12
624,9718,toys,66.23,1,2024-05-23
625,1793,toys,207.23,0,2024-07-05
626,6036,fashion,36.28,0,2024-02-01
627,9760,fashion,54.4,0,2022-07-01
628,1782,fashion,89.78,1,2022-06-25
629,8717,fashion,23.05,0,2021-02-01
630,1088,toys,32.03,0,2019-12-28
631,8357,sports,17.29,0,2019-12-17
632,5314,toys,88.01,1,2022-10-12
633,3828,beauty,44.03,1,2024-10-17
634,5377,electronics,65.72,0,2023-04-15
635,3143,sports,62.67,0,2019-11-18
636,9648,toys,150.87,0,2022-10-31
637,5829,toys,34.66,0,2022-02-03
638,4634,beauty,196.34,0,2022-12-05
639,1521,home,94.71,0,2021-08-27
640,1200,sports,74.12,1,2024-09-08
641,2345,beauty,83.42,0,2024-02-09
642,1296,electronics,8.55,0,2022-10-17
643,6362,home,184.62,0,2019-08-10
644,8551,beauty,56.38,0,2022-08-10
645,9157,toys,92.18,0,2021-04-23
646,2995,electronics,124.42,0,2020-04-26
647,5320,toys,182.53,0,2021-10-27
648,504,beauty,104.12,0,2019-06-16
649,1152,beauty,156.25,0,2021-01-28
650,6201,fashion,112.94,0,2024-12-05
651,1459,toys,119.71,0,2020-11-05
652,7637,fashion,201.35,0,2023-07-30
653,2881,sports,33.91,0,2020-06-21
654,5931,toys,176.43,0,2022-03-25
655,4111,fashion,70.93,0,2024-11-11
656,4206,beauty,9.93,0,2024-12-20
